time,category_name,text_company,text_headline,content_url,bias_label
2024-01-01 10:19:06,정치,뉴시스 ,국민 65% 김건희 특검 거부권 안돼…보수텃밭 TK도 56%가 반대,https://n.news.naver.com/mnews/article/003/0012295325?sid=100,0.00025550704706026853
2024-01-01 07:33:01,정치,kbc광주방송 ,민주당 지도부 2년 연속 尹신년인사회 불참..김건희 특검법 거부 항의,https://n.news.naver.com/mnews/article/660/0000052580?sid=100,0.7960598274175712
2024-01-01 05:00:01,정치,중앙일보 ,김건희 특검 거부권 안돼 65% 운동권 특권정치 청산 52% 중앙일보 신년 여론조사,https://n.news.naver.com/mnews/article/025/0003332246?sid=100,0.0002874054188130563
2024-01-01 04:08:17,정치,국민일보 ,정부견제론·金 특검법·李 리스크·신당 파괴력… 선거판 흔든다,https://n.news.naver.com/mnews/article/005/0001663446?sid=100,0.0003385713808653607
2024-01-01 03:02:01,정치,동아일보 ,수도권 ‘김건희 특검법 거부권’ 반대 더 많아,https://n.news.naver.com/mnews/article/020/0003540091?sid=100,0.00023145040293616535
2024-01-01 01:05:02,정치,YTN ,尹 오늘 신년사 발표...특검법 거부권 행사 초읽기,https://n.news.naver.com/mnews/article/052/0001979316?sid=100,0.9998006992847512
2024-01-02 20:18:01,정치,JTBC ,특검법 둘러싼 대치도 탈당 선언도…정치권 일단 멈춤,https://n.news.naver.com/mnews/article/437/0000373431?sid=100,0.03161470923841781
2024-01-02 20:01:03,정치,한국일보 ,이재명 피습에도 대통령실 김건희 특검법에 즉시 거부권,https://n.news.naver.com/mnews/article/469/0000778349?sid=100,0.336847826772217
2024-01-02 19:46:09,정치,디지털타임스 ,쌍특검법 정부 이송 연기… 주중 임시 국무회의 열듯,https://n.news.naver.com/mnews/article/029/0002847034?sid=100,0.4745120426138401
2024-01-02 19:07:04,정치,채널A ,‘쌍특검법’ 정부 이송 지연…尹 거부권 행사도 연기,https://n.news.naver.com/mnews/article/449/0000264981?sid=100,0.9998285842819971
2024-01-02 18:21:16,정치,YTN ,민주 與 김건희 특검을 도이치 특검으로 호도...꿈 깨야,https://n.news.naver.com/mnews/article/052/0001979993?sid=100,0.0005797291393930833
2024-01-02 17:31:01,정치,주간조선 ,김건희 특검 회피하는 한동훈 역풍불까xa0,https://n.news.naver.com/mnews/article/053/0000040553?sid=100,0.0003492707140514013
2024-01-02 17:28:28,정치,SBS ,국민의힘 특검 권한쟁의심판 검토에 선거 운동 도구 삼으려,https://n.news.naver.com/mnews/article/055/0001119229?sid=100,0.9951926891649487
2024-01-02 17:25:01,정치,연합뉴스TV ,쌍특검 법안 이송 안 돼…거부권 국무회의 상정 미뤄져,https://n.news.naver.com/mnews/article/422/0000637468?sid=100,0.000252873644114795
2024-01-02 16:53:06,정치,연합뉴스 ,與 野 특검 권한쟁의심판 검토에 선거운동 도구 삼으려종합,https://n.news.naver.com/mnews/article/001/0014421882?sid=100,0.9974747520908641
2024-01-02 16:51:12,정치,SBS ,영상 이준석 한동훈 김건희 특검에 관점 달라져…이준석이 평가한 한동훈 비대위원장은,https://n.news.naver.com/mnews/article/055/0001119210?sid=100,0.0004643486569145891
2024-01-02 16:49:01,정치,조세일보 ,쌍특검법 국무회의에 미포함…거부권 상정 미뤄져,https://n.news.naver.com/mnews/article/123/0002324411?sid=100,0.9985538175542744
2024-01-02 16:47:01,정치,동아일보 ,국회 쌍특검법 이송 오늘 안한다…尹 거부권 행사도 연기,https://n.news.naver.com/mnews/article/020/0003540380?sid=100,0.00022488546543714637
2024-01-02 16:29:59,정치,중앙일보 ,쌍특검법 거부 준비했던 한총리…국회가 특검법 안보내 밀렸다,https://n.news.naver.com/mnews/article/025/0003332533?sid=100,0.0004363605991946931
2024-01-02 16:20:05,정치,뉴시스 ,국민의힘 쌍특검은 야당의 정치폭력…거부권 행사 불가피,https://n.news.naver.com/mnews/article/003/0012298017?sid=100,0.008890510157729365
2024-01-02 16:18:08,정치,디지털타임스 ,與 쌍특검 민주당과 정의당의 짬짜미 정치폭력,https://n.news.naver.com/mnews/article/029/0002846951?sid=100,0.001757658726484851
